OBJECTID,SEED_ZONE,REGION,SUBREGION,SUBZONE,Shape__Area,Shape__Length,GlobalID
1,091,0,9,1,1346744434.21756,202368.859868755,babe457c-5ab6-4430-be80-b8ab44f90604
2,301,3,0,1,2541818853.77962,234810.252617988,05611a6e-e5ee-456b-990c-0a9aad6f358d
3,512,5,1,2,172763361.543602,56943.5229592958,e4614cd8-e59d-4324-b1d0-6a2fb834b6ea
4,511,5,1,1,271743981.985565,86465.2194653074,89cb77cf-85cb-440b-b578-f0cfece47c8a
5,321,3,2,1,1569238746.2476,176918.550893702,ad6a999b-d132-4d16-8c0c-20d34c592a2e
6,516,5,1,6,2031598884.94457,222890.476829848,a3d1ea3a-87ab-4867-a21a-7ae2c5cb4999
7,720,7,2,0,3413179510.50028,284600.556282217,3c190fcf-6bd8-4f9c-9865-8d77416e3d30
8,731,7,3,1,5702586625.93255,349269.905401025,d1fd71ef-3caa-41fa-8cfc-ad4d402913e3
9,952,9,5,2,1010841546.40948,199263.332594164,94a38639-5849-47c9-8dce-04df4105ebf3
10,751,7,5,1,1160286715.46516,168027.748405925,55f39de6-cd04-46db-b583-cdb533e6ab52
11,741,7,4,1,1921537591.34225,231383.003130144,fe5ab96b-222b-4ccf-9b78-ee8b79c74121
12,322,3,2,2,2431510953.12868,238194.914145355,5d86a295-4cd0-47a3-a117-fbf8d247147c
13,742,7,4,2,2411449930.5734,213672.823059741,3f013762-67fb-465f-abfc-272d27c571c3
14,302,3,0,2,1331213387.99389,173471.939912432,44cf7269-2470-4bfb-be57-ef467162629e
15,311,3,1,1,1942441957.61201,190769.417233754,cc53d933-fa29-45c3-b823-ff22c25e57a2
16,092,0,9,2,3589137817.5221,441053.481018525,8798b298-1490-4351-96a1-56c429e410f3
17,752,7,5,2,2890314574.82474,230974.591064795,abd420b6-0599-4ac7-88c9-05f63bdc437e
18,521,5,2,1,4795703710.58866,343277.542435524,ede5be0e-11ff-4d7d-ab47-127d5b77a914
19,331,3,3,1,1602360233.44211,185689.12977733,462a9870-24bd-4a0c-bf36-b24cd42e3f1a
20,303,3,0,3,1951177041.96556,267937.679885716,f3c65755-fe3d-494f-bfe5-be4ed0a7c481
21,312,3,1,2,3669700887.59297,295759.382492439,1d107337-2d19-48df-914c-ca98397f0773
22,732,7,3,2,6219647810.70242,376995.65491033,a0ac4089-1c4b-4274-a007-062a800e8189
23,332,3,3,2,1764576516.84614,215216.858796262,faab4082-4079-4ee6-83aa-21dc9a23c1b9
24,522,5,2,2,5624857386.7403,354878.493679344,43502358-afc5-4857-bf3d-25fa901aa855
25,760,7,6,0,4226501525.36925,359642.009485285,1efdf3b1-997b-4681-a371-c133c9e94572
26,390,3,9,0,1353521382.92194,176929.472979308,21befa51-e0a1-407c-8c5d-cdddbd71332b
27,093,0,9,3,1915884363.8382,247609.579500943,821ef35a-fb16-4d30-8167-cf3a031e1b75
28,961,9,6,1,8175458444.12908,467169.824072377,2ad71ec7-0c3e-46f7-926d-0fe99ee1e5b1
